method,k,features,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix
LASSO,5,"CNT,STD,CRL,IDM,HGN",RandomForest,0.9241379310344827,0.9328521434820647,0.8105775266792217,0.855328798185941,0.9255769752918817,0.9241379310344827,0.917945109078114,"[[17, 10], [1, 117]]"
LASSO,5,"CNT,STD,CRL,IDM,HGN",SVM_RBF,0.9103448275862069,0.862775482093664,0.8306654111738858,0.8453523668881779,0.9074023938444,0.9103448275862069,0.9082706001171208,"[[19, 8], [5, 113]]"
LASSO,5,"CNT,STD,CRL,IDM,HGN",DecisionTree,0.8896551724137931,0.8179535467671061,0.8179535467671061,0.8179535467671061,0.8896551724137931,0.8896551724137931,0.8896551724137931,"[[19, 8], [8, 110]]"
LASSO,5,"CNT,STD,CRL,IDM,HGN",AdaBoost,0.8896551724137931,0.8365975422427034,0.7751098556183302,0.800275482093664,0.8834737009375497,0.8896551724137931,0.8841265317754344,"[[16, 11], [5, 113]]"
LASSO,5,"CNT,STD,CRL,IDM,HGN",LogReg,0.8689655172413793,0.7921286031042128,0.7481167608286252,0.7667033618426624,0.8613579019802737,0.8689655172413793,0.8636393633143628,"[[15, 12], [7, 111]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",KNN,0.9379310344827586,0.8869565217391304,0.9190207156308852,0.9017393268579172,0.9415292353823088,0.9379310344827586,0.9391648426972419,"[[24, 3], [6, 112]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",DecisionTree,0.9379310344827586,0.9020685197155786,0.8904582548650345,0.8961069978504896,0.9371597976060451,0.9379310344827586,0.9374764253889296,"[[22, 5], [4, 114]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",AdaBoost,0.9379310344827586,0.9430000000000001,0.8476145637162587,0.8857368006304176,0.9386068965517242,0.9379310344827586,0.934202874921877,"[[19, 8], [1, 117]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",RandomForest,0.9310344827586207,0.9379699248120301,0.82909604519774,0.8708125445473984,0.9320715582058595,0.9310344827586207,0.9261680635092289,"[[18, 9], [1, 117]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",SVM_RBF,0.903448275862069,0.8544191019244476,0.8121468926553672,0.8308333333333333,0.8994863224125642,0.903448275862069,0.9003908045977012,"[[18, 9], [5, 113]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",LogReg,0.903448275862069,0.8644393241167434,0.7978656622724419,0.825241046831956,0.8989035436198951,0.903448275862069,0.8986107153035052,"[[17, 10], [4, 114]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",KNN,0.9448275862068966,0.9008620689655172,0.9232580037664784,0.9114774114774115,0.9468489892984543,0.9448275862068966,0.945577028335649,"[[24, 3], [5, 113]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",AdaBoost,0.9310344827586207,0.9201228878648233,0.8433772755806654,0.8751721763085399,0.9297632289845859,0.9310344827586207,0.9275790823596467,"[[19, 8], [2, 116]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",RandomForest,0.9172413793103448,0.8922811059907834,0.8206214689265536,0.850206611570248,0.9143333863022406,0.9172413793103448,0.9130948988315759,"[[18, 9], [3, 115]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",LogReg,0.903448275862069,0.8644393241167434,0.7978656622724419,0.825241046831956,0.8989035436198951,0.903448275862069,0.8986107153035052,"[[17, 10], [4, 114]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",DecisionTree,0.8827586206896552,0.8015763274336283,0.8422787193973635,0.8191356665932937,0.8927811260299053,0.8827586206896552,0.886457629648746,"[[21, 6], [11, 107]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",SVM_RBF,0.896551724137931,0.8457132298595713,0.7936283741368487,0.8158184435599967,0.8915182098529449,0.896551724137931,0.892346865774497,"[[17, 10], [5, 113]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",KNN,0.9172413793103448,0.8502435064935066,0.9063088512241054,0.8739130434782609,0.9274182713837886,0.9172413793103448,0.9202998500749625,"[[24, 3], [9, 109]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",RandomForest,0.9241379310344827,0.8992978566149298,0.8391399874450722,0.8649335252773309,0.9216785177256162,0.9241379310344827,0.9210543682346313,"[[19, 8], [3, 115]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",SVM_RBF,0.9103448275862069,0.8725055432372506,0.8163841807909604,0.8403759844186638,0.9065983637892806,0.9103448275862069,0.9067006170045641,"[[18, 9], [4, 114]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",DecisionTree,0.896551724137931,0.8272283272283272,0.8364720652856246,0.8317214700193424,0.8981095532819672,0.896551724137931,0.8972720602948043,"[[20, 7], [8, 110]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",LogReg,0.8896551724137931,0.8225,0.8036723163841808,0.8125404007756949,0.8868275862068966,0.8896551724137931,0.8879967902280277,"[[18, 9], [7, 111]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",KNN,0.9310344827586207,0.8698593073593073,0.9290646578782171,0.894927536231884,0.9403269144648455,0.9310344827586207,0.9335832083958021,"[[25, 2], [8, 110]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",RandomForest,0.9172413793103448,0.8922811059907834,0.8206214689265536,0.850206611570248,0.9143333863022406,0.9172413793103448,0.9130948988315759,"[[18, 9], [3, 115]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",DecisionTree,0.9103448275862069,0.8552036199095023,0.844946641556811,0.849932330228485,0.909158995163052,0.9103448275862069,0.9096881700062317,"[[20, 7], [6, 112]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",SVM_RBF,0.9103448275862069,0.8725055432372506,0.8163841807909604,0.8403759844186638,0.9065983637892806,0.9103448275862069,0.9067006170045641,"[[18, 9], [4, 114]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",LogReg,0.8896551724137931,0.8225,0.8036723163841808,0.8125404007756949,0.8868275862068966,0.8896551724137931,0.8879967902280277,"[[18, 9], [7, 111]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",KNN,0.9241379310344827,0.8659420289855073,0.8962649089767734,0.8799036217152323,0.9282458770614692,0.9241379310344827,0.9256459188521844,"[[23, 4], [7, 111]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",SVM_RBF,0.9241379310344827,0.887741046831956,0.8534212178279974,0.8691443104438428,0.9218865773724707,0.9241379310344827,0.9223828154837177,"[[20, 7], [4, 114]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",DecisionTree,0.9172413793103448,0.8634651600753296,0.8634651600753296,0.8634651600753296,0.9172413793103448,0.9172413793103448,0.9172413793103448,"[[21, 6], [6, 112]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",RandomForest,0.9172413793103448,0.8922811059907834,0.8206214689265536,0.850206611570248,0.9143333863022406,0.9172413793103448,0.9130948988315759,"[[18, 9], [3, 115]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",LogReg,0.8896551724137931,0.8225,0.8036723163841808,0.8125404007756949,0.8868275862068966,0.8896551724137931,0.8879967902280277,"[[18, 9], [7, 111]]"
