feature,score
CNT,3.2968135572235
ENT,1.6798080416783063
HGN,1.6015181323682917
IDM,1.3853386067153224
VAR,0.6365741468246334
EG,0.5120205788506227
CRL,0.4274218671033502
KTS,0.42286211389590644
MN,0.32626498893029104
SKEN,0.31315834099741113
SM,0.2802029040837157
STD,0.0
RMS,0.0
