feature,score
MN,0.3194872828331712
SM,0.31176917259619596
STD,0.31157185610053695
VAR,0.31157185610053695
RMS,0.3023939797797941
KTS,0.29072595336627716
SKEN,0.2738378288216885
ENT,0.2147451108484082
CRL,0.17008199347418573
CNT,0.09563489544178583
HGN,0.07365935079392805
IDM,0.07365935079392805
EG,0.05034403773498619
